caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume,LCS_lebel2inters,RCS_lebel2inters
sub-via156,CFIN,4556,[4556],[3414.47709962],3414.4770996239076,False,True,True,True,1234.481922010753,1234.4819220107574,4756,[4756],[3519.83179435],3519.8317943483385,False,True,True,True,1268.3475504365497,1268.3475504365497,"{3: 662, 24: 1083, 165: 75}","{24: 1184, 42: 576, 165: 134, 258: 17}"
sub-via153,CFIN,4054,[4054],[3067.82763767],3067.827637667248,False,True,True,True,1135.7386977830993,1135.738697783098,4010,[4010],[3039.17088294],3039.1708829392783,False,True,True,True,1132.0647587064577,1132.0647587064595,"{3: 505, 24: 1150}","{24: 1232, 42: 424}"
sub-via248,CFIN,4478,[4478],[3384.98437492],3384.98437491885,False,True,True,True,1172.8232036464387,1172.8232036464378,4664,[4664],[3469.29036246],3469.290362463282,False,True,True,True,1268.2898884825877,1268.2898884825872,"{3: 734, 24: 966, 165: 21}","{24: 1111, 42: 652, 165: 88}"
sub-via323,CFIN,4040,[4040],[3047.42700283],3047.427002830189,False,True,True,True,1119.3348207637864,1119.3348207637837,3338,[3338],[2541.57543294],2541.575432943696,False,True,True,True,897.0349478168055,897.0349478168059,"{3: 460, 24: 1134, 165: 30}","{24: 1018, 42: 294, 165: 12}"
sub-via059,CFIN,4948,[4948],[3623.35967657],3623.359676571132,False,True,True,True,1312.6516921477632,1312.6516921477555,4640,[4640],[3536.99936932],3536.9993693217166,False,True,True,True,1272.3437615315934,1272.3437615315981,"{2: 1, 3: 978, 24: 785, 165: 123, 258: 47}","{24: 912, 42: 813, 165: 114, 258: 18}"
sub-via339,CFIN,4408,[4408],[3317.53002824],3317.5300282358976,False,True,True,True,1176.062006787104,1176.062006787105,3880,[3880],[2897.72861871],2897.7286187071577,False,True,True,True,1079.7376944814532,1079.7376944814519,"{3: 403, 24: 1232, 165: 80, 258: 15}","{24: 1265, 42: 260, 165: 58, 258: 4}"
sub-via227,CFIN,5068,[5068],[3706.49251088],3706.4925108822963,False,True,True,True,1332.9548182287253,1332.9548182287235,4644,[4644],[3526.22141393],3526.2214139347248,False,True,True,True,1274.65880223646,1274.6588022364626,"{3: 639, 24: 1164, 165: 106, 258: 53}","{24: 1263, 42: 618, 165: 82, 258: 3}"
sub-via276,CFIN,4388,[4388],[3316.49361503],3316.493615034381,False,True,True,True,1172.9362320520122,1172.936232052005,4348,[4348],[3363.08031283],3363.0803128310104,False,True,True,True,1242.4647575035633,1242.4647575035615,"{3: 395, 24: 1154, 165: 171, 258: 7}","{24: 1141, 42: 510, 165: 141, 258: 21}"
sub-via458,CFIN,3770,[3770],[2831.15259733],2831.1525973311404,False,True,True,True,1039.8960096794199,1039.8960096794208,4220,[4220],[3133.59057809],3133.5905780851713,False,True,True,True,1160.5532599886792,1160.5532599886792,"{2: 1, 3: 543, 24: 896, 165: 71}","{24: 1202, 42: 384, 165: 99, 258: 4}"
sub-via310,CFIN,5372,[5372],[4029.58040458],4029.580404583083,True,False,True,True,-1.0,-1.0,5360,[5360],[3910.49702735],3910.497027351894,True,False,True,True,-1.0,-1.0,"{3: 713, 24: 1265, 165: 169, 258: 5}","{24: 1251, 42: 668, 165: 149, 258: 7}"
