caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume
sub-via156,CFIN,4556,[4556],[3414.47709962],3414.4770996239076,False,True,True,True,1234.4819220107565,1234.481922010757,4756,[4756],[3519.83179435],3519.8317943483385,False,True,True,True,1268.3475504365529,1268.3475504365472
sub-via153,CFIN,4054,[4054],[3067.82763767],3067.827637667248,False,True,True,True,1135.738697783092,1135.738697783093,4010,[4010],[3039.17088294],3039.1708829392783,False,True,True,True,1132.0647587064564,1132.0647587064568
sub-via248,CFIN,4478,[4478],[3384.98437492],3384.98437491885,False,True,True,True,1172.8232036464415,1172.8232036464342,4664,[4664],[3469.29036246],3469.290362463282,False,True,True,True,1268.2898884825863,1268.28988848259
sub-via323,CFIN,4040,[4040],[3047.42700283],3047.427002830189,False,True,True,True,1119.3348207637873,1119.3348207637837,3338,[3338],[2541.57543294],2541.575432943696,False,True,True,True,897.0349478168055,897.0349478168046
sub-via059,CFIN,4948,[4948],[3623.35967657],3623.359676571132,False,True,True,True,1312.6516921477655,1312.6516921477632,4640,[4640],[3536.99936932],3536.9993693217166,False,True,True,True,1272.3437615315943,1272.343761531597
sub-via339,CFIN,4408,[4408],[3317.53002824],3317.5300282358976,False,True,True,True,1176.0620067871005,1176.062006787104,3880,[3880],[2897.72861871],2897.7286187071577,False,True,True,True,1079.7376944814514,1079.7376944814523
sub-via227,CFIN,5068,[5068],[3706.49251088],3706.4925108822963,False,True,True,True,1332.9548182287235,1332.9548182287272,4644,[4644],[3526.22141393],3526.2214139347248,False,True,True,True,1274.6588022364617,1274.658802236463
sub-via276,CFIN,4388,[4388],[3316.49361503],3316.493615034381,False,True,True,True,1172.9362320520122,1172.9362320520113,4348,[4348],[3363.08031283],3363.0803128310104,False,True,True,True,1242.464757503566,1242.4647575035642
sub-via458,CFIN,3770,[3770],[2831.15259733],2831.1525973311404,False,True,True,True,1039.8960096794199,1039.8960096794162,4220,[4220],[3133.59057809],3133.5905780851713,False,True,True,True,1160.5532599886783,1160.5532599886797
sub-via310,CFIN,5372,[5372],[4029.58040458],4029.580404583083,True,False,True,True,-1.0,-1.0,5360,[5360],[3910.49702735],3910.497027351894,True,False,True,True,-1.0,-1.0
