caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume,correcL_cluster_connected_triangles,correcL_triangl_per_clust,correcL_srf_are_per_clust,correcL_total_srf_area,correcL_is_self_intersecting,correcL_is_watertight,correcL_is_edge_manifold,correcL_is_vertex_manifold,correcL_total_volume,correcL_holes_filled_volume,correcR_cluster_connected_triangles,correcR_triangl_per_clust,correcR_srf_are_per_clust,correcR_total_srf_area,correcR_is_self_intersecting,correcR_is_watertight,correcR_is_edge_manifold,correcR_is_vertex_manifold,correcR_total_volume,correcR_holes_filled_volume
sub-via248,CFIN,4478,[4478],[3384.98437492],3384.98437491885,False,True,True,True,1172.823203646435,1172.8232036464424,4664,[4664],[3469.29036246],3469.290362463282,False,True,True,True,1268.2898884825913,1268.2898884825881,4336,[4336],[3282.51882964],3282.518829642579,False,True,True,True,1265.5636414214232,1265.5636414214232,4536,[4536],[3392.75088829],3392.7508882946154,False,True,True,True,1382.498472772898,1382.498472772895
sub-via059,CFIN,4948,[4948],[3623.35967657],3623.359676571132,False,True,True,True,1312.6516921477705,1312.6516921477587,4640,[4640],[3536.99936932],3536.9993693217166,False,True,True,True,1272.3437615315938,1272.343761531597,4938,[4938],[3619.72980058],3619.7298005817456,False,True,True,True,1311.456307823304,1311.4563078233004,4640,[4640],[3536.99936932],3536.9993693217166,False,True,True,True,1272.3437615315952,1272.343761531596
sub-via227,CFIN,5068,[5068],[3706.49251088],3706.4925108822963,False,True,True,True,1332.9548182287263,1332.9548182287217,4644,[4644],[3526.22141393],3526.2214139347248,False,True,True,True,1274.6588022364624,1274.6588022364626,4658,[4658],[3437.6552261],3437.6552260990998,False,True,True,True,1328.689409767676,1328.689409767674,4368,[4368],[3294.38080428],3294.3808042797946,False,True,True,True,1200.7833084587724,1200.783308458775
sub-via119,CFIN,3952,[3952],[2928.36823581],2928.3682358071374,False,True,True,True,1066.6531184235155,1066.6531184235164,3790,[3790],[2784.07446288],2784.074462875812,False,True,True,True,998.5586808872247,998.5586808872249,4140,[4140],[3023.15045227],3023.150452273883,False,True,True,True,1152.7871503150554,1152.7871503150545,4030,[4030],[2915.39317435],2915.3931743508842,True,False,True,True,-1.0,-1.0
sub-via160,CFIN,4426,[4426],[3284.69629738],3284.696297382412,False,True,True,True,1210.157475270631,1210.157475270632,4656,[4656],[3490.90555094],3490.9055509436594,False,True,True,True,1285.2096858930386,1285.20968589304,4568,[4568],[3381.21923376],3381.2192337644833,False,True,True,True,1379.0924906374185,1379.0924906374212,4750,[4750],[3567.36380917],3567.363809174798,False,True,True,True,1583.9633150305071,1583.9633150305053
sub-via017,CFIN,4870,[4870],[3647.77302994],3647.773029943316,False,True,True,True,1299.590308810636,1299.5903088106334,3346,[3346],[2463.67836961],2463.678369612289,False,True,True,True,878.7674751310174,878.7674751310201,4512,[4512],[3375.82750825],3375.8275082482423,False,True,True,True,1196.5317508297549,1196.5317508297494,3304,[3304],[2441.30213054],2441.302130541765,False,True,True,True,874.8243080448522,874.8243080448515
sub-via010,CFIN,4912,[4912],[3705.69425573],3705.694255734241,False,True,True,True,1368.1208635609873,1368.1208635609855,5052,[5052],[3788.73301587],3788.733015867663,False,True,True,True,1365.3548989289484,1365.3548989289511,2710,[2710],[2041.59656054],2041.596560540221,False,True,True,True,814.0046092576713,814.0046092576695,4640,[4640],[3522.04954526],3522.049545263631,False,True,True,True,1284.5550179264665,1284.5550179264674
sub-via019,CFIN,4682,[4682],[3448.57674573],3448.576745725761,False,True,True,True,1271.7543675781071,1271.7543675781035,4460,[4460],[3381.8749576],3381.8749575999705,False,True,True,True,1255.896509110643,1255.8965091106447,4698,[4698],[3466.05133839],3466.051338392974,False,True,True,True,1278.8170950936956,1278.8170950936938,4460,[4460],[3381.8749576],3381.8749575999705,False,True,True,True,1255.8965091106456,1255.8965091106456
sub-via013,CFIN,5096,[5096],[3758.19333819],3758.1933381869435,False,True,True,True,1441.6942588138554,1441.6942588138463,4808,[4808],[3580.2573693],3580.2573693032355,False,True,True,True,1300.2872317920837,1300.2872317920874,4284,[4284],[3247.58382535],3247.583825354975,False,True,True,True,1256.702544648424,1256.702544648424,4808,[4808],[3580.2573693],3580.2573693032355,False,True,True,True,1300.2872317920885,1300.287231792086
sub-via053,CFIN,4188,[4188],[3155.13695565],3155.1369556495065,False,True,True,True,1166.8364536283593,1166.8364536283534,4694,[4694],[3499.38902295],3499.389022953551,False,True,True,True,1285.270261561429,1285.2702615614298,4176,[4176],[3144.153993],3144.1539930022154,False,True,True,True,1174.9972256542962,1174.997225654298,4460,[4460],[3342.10403442],3342.104034416654,False,True,True,True,1226.8899229353515,1226.8899229353497
sub-via206,CFIN,5776,[5776],[4247.28167192],4247.281671915905,False,True,True,True,1545.191224277889,1545.1912242778872,5582,[5582],[4135.22204641],4135.222046411076,False,True,True,True,1510.797792272686,1510.7977922726877,5746,[5746],[4180.20771349],4180.207713485162,True,False,True,True,-1.0,-1.0,5516,[5516],[4112.91947072],4112.919470719688,True,False,True,True,-1.0,-1.0
sub-via005,DRCMR,4660,[4660],[3415.11303034],3415.113030344157,False,True,True,True,1234.4407824199434,1234.4407824199407,4992,[4992],[3768.80632178],3768.80632177601,False,True,True,True,1327.3838346127957,1327.3838346127955,4964,[4964],[3626.59031483],3626.590314826835,False,True,True,True,1581.1637858297881,1581.1637858297809,4594,[4594],[3430.81259087],3430.8125908682573,False,True,True,True,1260.2931421046744,1260.293142104678
sub-via028,DRCMR,5154,[5154],[3719.35235113],3719.352351129172,False,True,True,True,1375.921262891109,1375.921262891109,4704,[4704],[3519.60647854],3519.606478542757,False,True,True,True,1268.311814834794,1268.3118148347912,5334,[5334],[3950.536786],3950.5367860015353,False,True,True,True,1892.7834346754962,1892.7834346755035,4522,[4522],[3402.26418173],3402.26418172752,False,True,True,True,1293.4345426761893,1293.4345426761902
