caseid,centre,lCS_junctions,rCS_junctions
sub-via156,CFIN,"{1: 5, 5: 2, 8: 3, 10: 2}","{1: 4, 2: 6, 5: 4}"
sub-via153,CFIN,"{2: 2, 3: 2}",{3: 7}
sub-via248,CFIN,"{1: 2, 2: 2, 3: 2, 4: 3, 5: 2}","{1: 2, 2: 3, 4: 2, 5: 2, 8: 2, 9: 3}"
sub-via323,CFIN,"{3: 2, 4: 2, 5: 2, 7: 2}",{}
sub-via059,CFIN,{4: 3},"{1: 2, 3: 3, 4: 2}"
sub-via339,CFIN,"{1: 6, 3: 2, 5: 2}","{1: 6, 2: 2, 3: 2}"
sub-via227,CFIN,"{1: 2, 2: 12, 3: 7, 4: 3, 6: 3, 7: 5, 8: 2}","{2: 3, 3: 3}"
sub-via276,CFIN,"{1: 3, 3: 6, 6: 2}",{3: 2}
sub-via458,CFIN,{},"{2: 2, 3: 3, 5: 2}"
sub-via310,CFIN,"{5: 5, 7: 2, 8: 2, 10: 2}","{1: 4, 2: 2, 6: 2, 7: 6, 8: 3}"
sub-via515,CFIN,"{1: 4, 2: 2, 3: 2, 5: 2, 6: 2, 8: 8}","{3: 3, 5: 2, 6: 2}"
sub-via379,CFIN,"{3: 3, 4: 2}","{1: 3, 3: 4}"
sub-via119,CFIN,"{1: 2, 2: 2, 3: 4, 4: 8, 7: 2, 8: 3}","{2: 2, 3: 3}"
sub-via439,CFIN,"{2: 3, 3: 3}","{1: 2, 2: 2, 3: 5}"
sub-via466,CFIN,"{1: 2, 4: 3, 5: 3, 6: 6, 7: 2, 8: 2, 9: 2, 11: 2, 15: 4}","{5: 3, 8: 2, 9: 3, 10: 3, 11: 3, 13: 2}"
sub-via333,CFIN,"{3: 4, 5: 2, 6: 2, 9: 2}","{2: 2, 3: 2, 9: 6}"
sub-via366,CFIN,"{2: 2, 5: 2}","{1: 4, 2: 3, 4: 2}"
sub-via431,CFIN,"{3: 2, 4: 7, 5: 4, 7: 2, 10: 2, 11: 2}","{5: 2, 6: 3, 7: 2, 8: 4, 9: 2}"
sub-via456,CFIN,"{1: 2, 2: 5, 6: 2, 7: 2}","{1: 2, 2: 3, 4: 4, 5: 2}"
sub-via501,CFIN,"{3: 2, 5: 4}","{6: 2, 9: 2, 10: 2}"
sub-via512,CFIN,{2: 3},"{3: 4, 6: 2}"
sub-via086,CFIN,"{1: 5, 2: 6, 5: 3}","{1: 2, 2: 2, 3: 2}"
sub-via229,CFIN,"{1: 2, 3: 3, 5: 4, 6: 2, 7: 4}","{1: 4, 2: 3, 4: 2, 11: 2}"
sub-via283,CFIN,{},{}
sub-via313,CFIN,"{1: 2, 2: 2, 3: 2, 10: 3}","{1: 6, 5: 3}"
sub-via343,CFIN,{},{}
sub-via383,CFIN,"{1: 6, 2: 4, 5: 2, 7: 2}","{1: 4, 2: 3, 3: 3}"
sub-via441,CFIN,{3: 2},"{3: 2, 4: 3, 5: 2, 7: 3}"
sub-via473,CFIN,{3: 2},"{2: 2, 4: 2, 6: 2}"
sub-via403,CFIN,"{1: 4, 2: 7}",{1: 2}
sub-via424,CFIN,"{3: 8, 4: 2}","{1: 2, 2: 2, 3: 3, 6: 6}"
sub-via163,CFIN,"{2: 5, 4: 5, 6: 2}","{3: 2, 8: 3}"
sub-via256,CFIN,"{2: 2, 3: 5, 6: 3}","{3: 2, 6: 3, 7: 2, 9: 2, 10: 7, 11: 2}"
sub-via299,CFIN,"{2: 2, 8: 2}","{4: 4, 5: 2, 7: 6, 8: 2}"
sub-via330,CFIN,"{2: 2, 4: 2, 6: 2}","{2: 4, 5: 4}"
sub-via363,CFIN,"{1: 2, 6: 2, 7: 2}","{2: 2, 3: 2}"
sub-via453,CFIN,{1: 2},{3: 3}
sub-via493,CFIN,"{4: 2, 6: 3, 7: 2}","{1: 3, 3: 2}"
sub-via213,CFIN,"{1: 4, 3: 2, 5: 8}","{1: 2, 2: 2, 3: 2, 4: 3, 5: 3}"
sub-via154,CFIN,"{2: 4, 3: 2}","{2: 2, 6: 2}"
sub-via250,CFIN,"{2: 3, 4: 4, 5: 2, 6: 9, 10: 2}","{1: 2, 2: 2, 3: 2, 7: 3, 8: 2}"
sub-via338,CFIN,"{1: 3, 2: 2, 3: 6}","{2: 3, 3: 2, 11: 2}"
sub-via378,CFIN,"{1: 2, 2: 2, 3: 2, 4: 3}","{3: 4, 5: 4, 6: 3, 7: 2}"
sub-via459,CFIN,"{1: 2, 3: 2, 4: 2}","{2: 5, 6: 2}"
sub-via517,CFIN,"{1: 2, 2: 2, 3: 2, 4: 8, 6: 4, 7: 2}","{3: 2, 5: 2, 6: 3, 7: 2}"
sub-via336,CFIN,{},{1: 2}
sub-via104,CFIN,"{2: 5, 3: 2}","{1: 2, 6: 3, 8: 3, 9: 3, 10: 3}"
sub-via126,CFIN,"{1: 6, 2: 4, 3: 4, 4: 2, 5: 5, 6: 8}","{2: 2, 3: 2, 4: 4}"
sub-via287,CFIN,"{1: 4, 2: 2}",{6: 2}
sub-via231,CFIN,"{1: 3, 2: 2, 4: 6, 6: 4, 7: 2}",{2: 3}
sub-via348,CFIN,"{2: 2, 3: 4}",{}
sub-via389,CFIN,"{2: 8, 3: 3, 4: 3, 6: 2, 10: 3}",{3: 2}
sub-via442,CFIN,"{3: 4, 8: 8}","{1: 2, 4: 3, 5: 2, 8: 2}"
sub-via481,CFIN,"{2: 4, 3: 7}","{1: 2, 2: 4}"
sub-via490,CFIN,"{2: 3, 6: 2, 10: 4}","{2: 2, 3: 5, 4: 2, 7: 3, 9: 8}"
sub-via296,CFIN,"{1: 7, 3: 2}","{4: 2, 6: 2, 8: 9, 9: 4}"
sub-via325,CFIN,"{2: 3, 4: 2, 6: 3}","{2: 3, 4: 7}"
sub-via393,CFIN,"{1: 3, 3: 2, 5: 2, 6: 4}",{2: 6}
sub-via450,CFIN,"{1: 2, 4: 3, 6: 2, 7: 3, 8: 2}",{}
sub-via488,CFIN,"{2: 2, 3: 2, 5: 2}","{4: 2, 5: 2, 6: 2, 7: 2}"
sub-via160,CFIN,"{5: 2, 8: 2, 9: 2, 11: 2, 12: 2}","{3: 8, 4: 2, 6: 2, 7: 3}"
sub-via317,CFIN,"{2: 2, 3: 3, 4: 3, 7: 2}","{1: 2, 2: 3, 5: 4, 6: 2}"
sub-via085,CFIN,{1: 4},"{1: 2, 2: 3}"
sub-via254,CFIN,{3: 2},"{1: 5, 2: 6}"
sub-via054,CFIN,"{1: 3, 3: 7, 4: 2}","{4: 2, 5: 3}"
sub-via298,CFIN,"{1: 2, 3: 3, 5: 2, 9: 2}","{8: 2, 9: 2}"
sub-via328,CFIN,"{4: 4, 5: 2, 6: 6, 10: 2}","{2: 2, 5: 2, 6: 2}"
sub-via362,CFIN,"{2: 5, 3: 2}","{3: 3, 6: 3, 7: 3}"
sub-via399,CFIN,"{4: 2, 5: 3, 7: 4, 8: 2}","{2: 3, 3: 3, 4: 8}"
sub-via423,CFIN,"{1: 2, 4: 8, 5: 2, 6: 3, 10: 2}",{2: 6}
sub-via209,CFIN,"{7: 2, 8: 2}",{4: 3}
sub-via224,CFIN,"{1: 2, 2: 2, 3: 5, 4: 2, 5: 2}","{1: 2, 2: 2, 3: 2, 5: 5}"
sub-via275,CFIN,"{1: 2, 2: 3, 5: 2}","{3: 2, 6: 6, 8: 2}"
sub-via309,CFIN,"{1: 2, 5: 6, 7: 2, 8: 4, 10: 3, 11: 3}","{2: 2, 6: 5}"
sub-via228,CFIN,"{1: 6, 6: 4, 9: 3}","{1: 3, 2: 3, 4: 3}"
sub-via279,CFIN,"{1: 5, 2: 6, 3: 2, 5: 3, 6: 3}",{3: 9}
sub-via311,CFIN,"{1: 4, 5: 4, 6: 2}","{8: 4, 10: 2, 12: 4, 14: 2, 15: 2, 16: 2, 17: 3, 22: 2, 23: 4}"
sub-via455,CFIN,"{1: 4, 2: 4}","{1: 2, 2: 2, 4: 4}"
sub-via340,CFIN,"{3: 6, 5: 3, 7: 2}",{2: 3}
sub-via380,CFIN,"{1: 2, 3: 3, 4: 3, 5: 2}","{1: 2, 5: 4, 8: 2}"
sub-via440,CFIN,"{2: 3, 3: 2, 5: 3, 9: 2}","{1: 3, 4: 3, 5: 3, 6: 2}"
sub-via467,CFIN,"{1: 2, 2: 2, 3: 5, 6: 4}",{4: 2}
sub-via522,CFIN,"{2: 2, 3: 5, 6: 3}","{1: 5, 3: 2, 7: 2}"
sub-via201,CFIN,"{5: 2, 7: 2}","{1: 3, 4: 3, 5: 6}"
sub-via207,CFIN,"{1: 6, 2: 2, 3: 2, 4: 2, 5: 2, 9: 4, 11: 2}","{6: 2, 8: 5, 9: 4, 10: 2, 11: 2, 12: 2}"
sub-via219,CFIN,"{2: 4, 3: 2, 4: 4, 5: 2, 7: 2}","{1: 2, 2: 2}"
sub-via304,CFIN,"{4: 4, 5: 2, 7: 5}",{}
sub-via273,CFIN,"{2: 4, 4: 2, 5: 3}",{2: 4}
sub-via372,CFIN,{},"{2: 2, 3: 2, 7: 8, 8: 9, 9: 2}"
sub-via433,CFIN,"{2: 3, 3: 2, 4: 2}","{1: 14, 2: 2}"
sub-via457,CFIN,"{1: 3, 3: 2, 4: 2, 6: 2}","{2: 4, 3: 3, 5: 2, 6: 3, 7: 2}"
sub-via506,CFIN,"{1: 2, 2: 4, 5: 5}","{1: 11, 4: 6, 6: 2, 7: 2}"
sub-via513,CFIN,"{4: 4, 5: 2, 6: 4}","{1: 3, 3: 2, 4: 6, 7: 2}"
sub-via171,CFIN,"{1: 2, 3: 9}",{2: 11}
sub-via205,CFIN,"{1: 6, 3: 2, 4: 2, 7: 2, 8: 7}","{3: 4, 4: 2, 6: 3, 9: 2}"
sub-via118,CFIN,"{1: 3, 3: 3, 4: 4}","{1: 2, 3: 2, 4: 3, 5: 2}"
sub-via152,CFIN,"{2: 2, 3: 4, 5: 2, 8: 2, 9: 2, 11: 2}","{2: 3, 3: 2}"
sub-via259,CFIN,"{1: 3, 2: 2}","{2: 2, 3: 4, 7: 3}"
sub-via300,CFIN,"{1: 3, 2: 5, 4: 7}","{3: 2, 4: 2, 6: 2, 7: 3}"
sub-via331,CFIN,"{1: 2, 2: 3, 3: 2, 4: 2, 5: 3, 6: 2}","{1: 3, 2: 3, 4: 2, 7: 8}"
sub-via364,CFIN,"{1: 2, 3: 3, 4: 2, 5: 9}","{1: 4, 6: 6, 10: 3, 12: 3}"
sub-via429,CFIN,{2: 3},{}
sub-via494,CFIN,"{1: 3, 4: 4, 5: 2}",{}
sub-via511,CFIN,"{1: 5, 4: 5}",{}
sub-via238,CFIN,{},"{1: 3, 2: 2, 3: 2}"
sub-via293,CFIN,"{1: 4, 2: 2, 3: 2, 5: 5}",{1: 2}
sub-via320,CFIN,"{4: 4, 5: 2, 8: 3}","{5: 2, 7: 6, 8: 4}"
sub-via355,CFIN,"{1: 2, 3: 2, 4: 3, 7: 2}","{2: 2, 3: 3, 4: 10}"
sub-via391,CFIN,"{1: 7, 5: 3, 11: 2}","{3: 2, 12: 6, 13: 2}"
sub-via444,CFIN,"{1: 2, 2: 3, 3: 3, 5: 2, 6: 3, 7: 2}",{2: 7}
sub-via485,CFIN,"{1: 3, 6: 4, 7: 8, 8: 2}","{2: 10, 3: 2, 7: 2, 8: 2}"
sub-via050,CFIN,"{1: 3, 5: 2, 7: 5, 9: 2}","{2: 2, 8: 2, 10: 3, 12: 4}"
sub-via017,CFIN,"{1: 4, 2: 2, 4: 9}","{2: 2, 5: 2}"
